time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.002975007,-0.11465317,-0.11735709,0.055781342,0.060349926,-0.115895525,0.120039694,0.08160163,-0.0060890242,0.06319087,0.08320782,0.08043826
0.01,0.004901728,-0.2188795,-0.2231375,0.10674839,0.11451889,-0.2206867,0.2357304,0.1538987,-0.018632295,0.120679475,0.15738177,0.15739076
0.02,-0.0030353107,-0.19120869,-0.18776459,0.096883476,0.09291114,-0.18922712,0.20164137,0.1311681,-0.020752994,0.102082595,0.13171816,0.12914908
0.03,0.001277108,-0.20839983,-0.2092233,0.103422046,0.10575869,-0.20856453,0.23156917,0.14523219,-0.022458622,0.11581845,0.15287723,0.1487285
0.04,0.005029286,-0.18596873,-0.19028439,0.090137206,0.098224,-0.18781853,0.21930698,0.13575235,-0.023200748,0.1094491,0.14565755,0.1496381
0.05,-0.0077352338,-0.20217746,-0.19382796,0.10483644,0.09346021,-0.19784963,0.22437976,0.13507365,-0.028705576,0.10704925,0.14784215,0.15008375
0.06,-0.010379564,-0.19899952,-0.18798488,0.10445982,0.08931153,-0.19317582,0.2054849,0.1252293,-0.031088497,0.107629396,0.15084329,0.14876041
0.07,-0.00593017,-0.19243547,-0.18605311,0.09885571,0.09058068,-0.18892872,0.21580628,0.1274684,-0.029478,0.10916821,0.15543933,0.1557444
0.08,-0.0044633904,-0.19486868,-0.19006196,0.099432796,0.09323975,-0.1921013,0.21225484,0.1210266,-0.032211162,0.10779641,0.15525644,0.1566322
0.09,-0.0016437062,-0.19351323,-0.19115762,0.09730837,0.09525436,-0.19212745,0.20591317,0.123422615,-0.024877552,0.11369704,0.16273001,0.15801884
0.1,0.009224653,-0.18510488,-0.19371253,0.0875859,0.10200191,-0.18934344,0.20841381,0.1274195,-0.0225493,0.11830549,0.16548409,0.16481099
0.11,0.0126258405,-0.19546145,-0.20757693,0.091131255,0.11062738,-0.20124686,0.20590428,0.12175574,-0.02818983,0.116434745,0.1663334,0.16699438
0.12,0.0025486455,-0.19528002,-0.197103,0.09610508,0.10032652,-0.19586149,0.19932109,0.113253586,-0.031558923,0.10982811,0.16120003,0.15335044
0.13,0.011725254,-0.19139801,-0.20251581,0.089646086,0.107607394,-0.19667011,0.204073,0.120417856,-0.022600237,0.11846662,0.1684626,0.16820888
0.14,0.0135635175,-0.19262384,-0.20558302,0.08923649,0.11007468,-0.19878829,0.20018335,0.115329765,-0.022948584,0.11789655,0.16967902,0.16351013
0.15,0.013562397,-0.1901508,-0.20309286,0.08791527,0.10887267,-0.19631964,0.20038587,0.11900135,-0.022526791,0.11665281,0.16827428,0.16310506
0.16,0.011466539,-0.1910474,-0.20192826,0.08946288,0.10726199,-0.19624436,0.1960529,0.11496664,-0.024411798,0.11287524,0.16148242,0.15831034
0.17,0.012552964,-0.19211285,-0.20424157,0.08937112,0.109008595,-0.19784704,0.19653194,0.11922075,-0.022409704,0.1231583,0.17231813,0.16359964
0.18,0.012511941,-0.19307491,-0.20503183,0.09000463,0.109340146,-0.19873558,0.20032817,0.1210168,-0.025649298,0.124335535,0.17594773,0.16533862
0.19,0.0048893313,-0.19857043,-0.20285352,0.09659585,0.10443638,-0.2005583,0.19443956,0.115509264,-0.026344875,0.11860332,0.17124419,0.15720685
0.2,0.013927047,-0.18893774,-0.202197,0.08718037,0.10862635,-0.19522789,0.19468838,0.11347459,-0.030564541,0.11831441,0.17158857,0.15924135
0.21,0.022894599,-0.17046659,-0.19285145,0.073598094,0.10830063,-0.18150413,0.19683148,0.123461045,-0.020594133,0.12462198,0.18007034,0.16829136
0.22,0.031193864,-0.13918455,-0.16981962,0.053696163,0.10104462,-0.15417095,0.23156308,0.15511611,0.008116521,0.15450501,0.20542789,0.184876
0.23,0.036573324,-0.15284763,-0.18872675,0.05791237,0.11323433,-0.17055446,0.23001693,0.16321757,0.012446551,0.15138485,0.20121978,0.1800154
0.24,0.07386426,-0.11432043,-0.18774107,0.019987116,0.1313396,-0.15079555,0.2044992,0.15673715,0.022425419,0.16550525,0.22091775,0.20536242
