time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.3479318,-0.012747638,0.335117,0.18012346,-0.3415657,0.16098352,0.049690846,0.09453574,0.04831403,-0.041031186,-0.10397305,0.06302105
0.01,-0.34760046,0.012821363,0.360482,0.16707256,-0.35402948,0.18643582,0.07093489,0.11125238,0.064030506,-0.027992478,-0.09466696,0.070468165
0.02,-0.3320455,0.05891908,0.39090642,0.13630043,-0.36151338,0.22465335,0.07771866,0.12178536,0.079322465,-0.0077320035,-0.07613964,0.083143935
0.03,-0.33851296,0.08661319,0.42514208,0.12561753,-0.3818566,0.25568476,0.06312934,0.10653313,0.07320745,-0.011335278,-0.07940947,0.088063814
0.04,-0.32543918,0.11253092,0.43803063,0.106253,-0.38176817,0.27495274,0.023524173,0.08003856,0.05583929,-0.018680152,-0.072416745,0.09833941
0.05,-0.3093471,0.118847325,0.42824548,0.09506774,-0.36885723,0.27328148,0.014688193,0.06860611,0.050394394,-0.017961195,-0.06573478,0.10901503
0.06,-0.30251342,0.12759134,0.430268,0.08726628,-0.36639482,0.27872428,0.001977305,0.060437355,0.040230565,-0.023904439,-0.065934956,0.11313379
0.07,-0.2806734,0.088282794,0.36891308,0.09592499,-0.32478178,0.22842035,-0.01337507,0.056172036,0.029392853,-0.028866502,-0.064550005,0.12006161
0.08,-0.34293795,0.032314062,0.37523502,0.15501933,-0.35904986,0.20354764,0.015907068,0.059447713,0.019560734,-0.049502157,-0.0973567,0.08407636
0.09,-0.35019836,-0.010757104,0.33948186,0.18024169,-0.34487268,0.16402495,0.022828752,0.06629573,0.020891532,-0.05426786,-0.108836815,0.06756817
0.1,-0.35785758,-0.04473308,0.31306118,0.20105813,-0.33543548,0.13397324,0.02006877,0.061425544,0.01122667,-0.063520774,-0.11762346,0.058689248
0.11,-0.36135158,-0.058628943,0.30266064,0.20968954,-0.33199623,0.12171597,0.018571137,0.06018367,0.0076087713,-0.07078902,-0.12332565,0.05420503
0.12,-0.36665806,-0.062491447,0.30429187,0.214284,-0.33541164,0.12070973,0.025682697,0.06653808,0.014591928,-0.06867886,-0.12608653,0.050653562
0.13,-0.37289086,-0.07861611,0.29432857,0.2255297,-0.33368042,0.10754832,0.03258476,0.06711517,0.0134478435,-0.07000172,-0.12896669,0.04577447
0.14,-0.36561343,-0.06760691,0.2979294,0.21642758,-0.33182523,0.11496451,0.03409103,0.07380911,0.01753922,-0.06548989,-0.12555583,0.051503897
0.15,-0.37939838,-0.09031715,0.2890144,0.23456098,-0.3341749,0.09908859,0.054298986,0.08210316,0.017634999,-0.071127675,-0.13644,0.03797683
0.16,-0.41096288,-0.06027069,0.3505954,0.2354465,-0.38079244,0.1448504,0.13755378,0.17258804,0.10237693,-0.018307157,-0.14645244,0.013704808
0.17,-0.2714664,-0.0022265976,0.26916012,0.13661583,-0.27032265,0.13331942,0.33065158,0.54959923,0.5868085,0.5140347,0.24700403,0.2350508
0.18,0.12662281,0.13810514,0.011523912,-0.13257058,0.05751995,0.07446827,0.07374959,0.47842178,0.8339931,1.0515845,0.87841874,0.6836731
0.19,-0.18452632,0.19732818,0.38172504,-0.0066103144,-0.28313464,0.28928995,-0.98758864,-1.1836971,-0.8390456,-0.42907718,0.024311766,0.3532123
0.2,-0.39280972,-0.062357135,0.330466,0.22728437,-0.3615837,0.1337952,-1.3111503,-1.724162,-1.5810952,-1.1522802,-0.43165296,0.14516407
0.21,-0.2536048,-0.095162965,0.15858737,0.17402247,-0.20604393,0.031409357,-0.54579175,-0.57398266,-0.5687033,-0.4231582,-0.12769178,0.22680645
0.22,-0.32598752,-0.10014965,0.22576062,0.21279587,-0.2758213,0.062493794,-0.1514401,-0.12798408,-0.18624797,-0.2059151,-0.15585326,0.09551674
0.23,-0.331378,-0.0640827,0.2673879,0.19740912,-0.2994751,0.10143253,0.00918606,0.083563335,0.025412165,-0.03825834,-0.09492039,0.08745795
0.24,-0.34322816,-0.08762587,0.2555073,0.21502225,-0.29927796,0.08373157,0.04595743,0.113257594,0.043210324,-0.042022288,-0.11458834,0.06518538
0.25,-0.3466896,-0.084215745,0.26257008,0.21512026,-0.30448386,0.08888922,0.08114149,0.15481918,0.08609835,-0.008062826,-0.10156099,0.06633263
0.26,-0.34353027,-0.09047749,0.25311607,0.21673307,-0.29827222,0.081078716,0.09138204,0.17051888,0.0912322,-0.0040909867,-0.10336042,0.06023097
0.27,-0.34100273,-0.083363496,0.25756255,0.21192896,-0.29920644,0.0869118,0.10094307,0.18669063,0.116290905,0.010250739,-0.095346056,0.06444728
0.28,-0.34067133,-0.08087417,0.25987956,0.2105762,-0.30030668,0.089299895,0.10795736,0.19742194,0.12849107,0.013908139,-0.09240039,0.064012505
0.29,-0.3415328,-0.07781239,0.26370853,0.20938978,-0.30254382,0.09262176,0.10915476,0.2132442,0.14000684,0.027440373,-0.08975217,0.06411059
0.3,-0.33319056,-0.06989802,0.2631553,0.2012965,-0.29813302,0.096503556,0.11258441,0.22659346,0.15375546,0.035502296,-0.08440119,0.07467061
0.31,-0.3371009,-0.0662448,0.27082565,0.20142572,-0.30393255,0.102146134,0.11959293,0.23996253,0.1666059,0.045550525,-0.07728291,0.07694006
0.32,-0.33525053,-0.063637346,0.27157125,0.1992371,-0.30346653,0.10376974,0.12450335,0.25631878,0.18351924,0.059818912,-0.06994184,0.08171926
0.33,-0.32053894,-0.052179642,0.2684602,0.18607178,-0.29452452,0.107898295,0.13077857,0.270237,0.19994307,0.06947261,-0.06306306,0.08624141
0.34,-0.31767344,-0.043242417,0.2744574,0.18027125,-0.29614002,0.115276195,0.14231361,0.28696993,0.21396846,0.07739393,-0.058878906,0.089131884
0.35,-0.30856088,-0.039396588,0.26913315,0.17380457,-0.28888634,0.11464166,0.15121938,0.306665,0.23454526,0.09062922,-0.04934747,0.095868945
0.36,-0.30199698,-0.030017953,0.27212602,0.16574226,-0.28700238,0.12079966,0.16317755,0.33169428,0.25761247,0.10938663,-0.037503302,0.10381327
0.37,-0.2955511,-0.015662178,0.2799427,0.15536538,-0.2876993,0.13189076,0.17613348,0.3568623,0.27841282,0.12869985,-0.028257253,0.10986984
0.38,-0.28883937,-0.008870595,0.28011498,0.1485234,-0.28447062,0.13537195,0.18584552,0.37741184,0.2899026,0.1405787,-0.02292041,0.11377498
0.39,-0.2787141,0.008097491,0.28670937,0.1350154,-0.2828017,0.14706583,0.1847828,0.39163944,0.30425546,0.15544888,-0.011885007,0.12343764
0.4,-0.27131444,0.025772713,0.29712364,0.122613505,-0.2842847,0.16115262,0.18506396,0.40309915,0.3174756,0.17041306,0.00053039094,0.13267413
0.41,-0.2696717,0.04216844,0.31167996,0.113430984,-0.2906653,0.17670666,0.17789848,0.40137273,0.32048294,0.17386907,0.007947889,0.14710538
0.42,-0.25967222,0.0577847,0.31727603,0.10057218,-0.28845397,0.1872518,0.1624444,0.38936728,0.31575274,0.1747796,0.01627129,0.15661506
0.43,-0.25252065,0.073839806,0.32653388,0.08911876,-0.2896219,0.19989792,0.14664848,0.3769521,0.31297758,0.17647725,0.025848744,0.16708794
0.44,-0.24402909,0.08965513,0.33365873,0.076951995,-0.2889622,0.21139811,0.124500394,0.35517368,0.30513844,0.17811278,0.035865072,0.17892528
0.45,-0.24539095,0.08576932,0.33112296,0.079467684,-0.2881377,0.20826189,0.097013965,0.31500602,0.27491203,0.16617937,0.03605259,0.18154848
0.46,-0.25518984,0.072212666,0.3273316,0.09122587,-0.2912684,0.19959816,0.07244515,0.2669859,0.23194852,0.13764043,0.025155783,0.17502208
0.47,-0.27663237,0.051350813,0.328001,0.11238488,-0.30227876,0.18939088,0.060155388,0.22102107,0.18434596,0.09999946,0.00030975684,0.15672141
0.48,-0.29188898,0.0319654,0.32394785,0.1296768,-0.3078751,0.17771465,0.05404466,0.17827168,0.14112444,0.06435022,-0.026799366,0.13708726
0.49,-0.30944148,0.012524306,0.3219006,0.14821681,-0.31560427,0.1668799,0.04267371,0.14839718,0.103083335,0.034908693,-0.048674814,0.121206194
0.5,-0.3298731,-0.007488663,0.32231355,0.16845137,-0.32611233,0.15711603,0.037102435,0.12519719,0.07592398,0.010976836,-0.06862552,0.106098354
0.51,-0.3283372,-0.008996534,0.31923538,0.168444,-0.32381555,0.15493909,0.038478263,0.114031956,0.06027413,-0.006432697,-0.08202733,0.10004229
0.52,-0.33931258,-0.017139543,0.32207868,0.1780587,-0.33075362,0.15227778,0.03243159,0.1076559,0.05157849,-0.015599177,-0.08827587,0.091236666
0.53,-0.34433058,-0.022753926,0.32162637,0.18339421,-0.33291236,0.14912207,0.030717123,0.10407293,0.05008963,-0.019423982,-0.09480167,0.09175504
0.54,-0.34328234,-0.02361419,0.31962463,0.18318985,-0.3314103,0.14776927,0.033743855,0.10347747,0.047100518,-0.021251127,-0.096023194,0.090476274
0.55,-0.34767523,-0.02558413,0.32202342,0.18638429,-0.3348198,0.14798477,0.030757645,0.10701741,0.04817175,-0.017243115,-0.09703911,0.08885932
0.56,-0.35290733,-0.03027909,0.3227321,0.19128317,-0.3377243,0.14593917,0.032824177,0.11011781,0.049936444,-0.015572535,-0.09941285,0.08772597
0.57,-0.34548074,-0.027700871,0.31773973,0.18645258,-0.33164757,0.14476544,0.039655454,0.111850746,0.05161102,-0.0139232315,-0.09815602,0.08745114
0.58,-0.3526638,-0.0280961,0.32454914,0.19005924,-0.33851808,0.14792302,0.040959474,0.11696315,0.054251138,-0.012334827,-0.097123094,0.08989486
0.59,-0.35621816,-0.030382674,0.325822,0.1929944,-0.34109467,0.14750509,0.04245891,0.11742176,0.05663171,-0.0126273865,-0.096301176,0.08717413
0.6,-0.34948826,-0.02584313,0.32358631,0.18745796,-0.33656183,0.14855948,0.047704745,0.11585772,0.058322176,-0.012549876,-0.098101094,0.08230685
0.61,-0.3490863,-0.028279431,0.32095903,0.188348,-0.33500624,0.14611456,0.0493482,0.11522031,0.06041924,-0.014386887,-0.09971039,0.088811636
0.62,-0.34671658,-0.025743809,0.32103702,0.18600099,-0.33388224,0.14730684,0.046266444,0.1124301,0.059618853,-0.014885592,-0.09640912,0.091082476
0.63,-0.34650406,-0.023216704,0.3232589,0.18459891,-0.334856,0.14976154,0.045107327,0.1078065,0.0533892,-0.020709885,-0.10245852,0.08586108
0.64,-0.3430667,-0.02262427,0.32053566,0.18259326,-0.331651,0.14874169,0.046239093,0.104348004,0.04626425,-0.020651119,-0.10427722,0.08325609
0.65,-0.3426346,-0.0212923,0.3212895,0.18183966,-0.33199695,0.14973617,0.04632485,0.09949116,0.041639626,-0.02474373,-0.10611369,0.08385708
0.66,-0.3439384,-0.021666918,0.3222873,0.18245791,-0.3331221,0.1500904,0.043847784,0.09831047,0.03901939,-0.0236594,-0.10284571,0.08734488
0.67,-0.34165236,-0.023906143,0.31775543,0.18248601,-0.32967892,0.14667895,0.043823414,0.09079823,0.03299349,-0.029356662,-0.10690291,0.08644118
0.68,-0.3475455,-0.027720625,0.31998175,0.1873537,-0.33374974,0.1459271,0.039683726,0.086070694,0.027895765,-0.03227135,-0.1101479,0.08421051
0.69,-0.34620178,-0.012751669,0.33355302,0.17923269,-0.3398604,0.16017552,0.049130343,0.09412101,0.037691332,-0.023772582,-0.1040562,0.08755581
0.7,-0.33842638,0.022470254,0.36091465,0.15778312,-0.3497117,0.1914242,0.072303854,0.11624229,0.05852843,-0.0067592137,-0.089078,0.09988488
0.71,-0.32588518,0.06837727,0.3941635,0.12835065,-0.3600385,0.23106295,0.06569725,0.113438465,0.06394722,0.0026963938,-0.07795787,0.10547772
0.72,-0.33054236,0.09562362,0.4260279,0.11717428,-0.3782968,0.2605516,0.036547195,0.09098326,0.051292136,-0.0075364606,-0.0849961,0.10845883
0.73,-0.31173912,0.11372118,0.42550945,0.09873627,-0.36860737,0.2693373,-0.0029650347,0.07178126,0.041163612,-0.005403762,-0.06885925,0.12702218
0.74,-0.30882707,0.11980368,0.42853776,0.09430096,-0.36878136,0.2739268,-0.0027473015,0.06411588,0.035588227,-0.00579929,-0.068692304,0.13049017
0.75,-0.29126713,0.10770177,0.39886627,0.09149693,-0.34498754,0.2529974,-0.04009165,0.044399023,0.013431809,-0.018980864,-0.06906555,0.13629164
0.76,-0.29967648,0.058974423,0.35870185,0.11996882,-0.3291144,0.2084844,-0.021443104,0.055360198,0.016957706,-0.020517811,-0.074306846,0.13031417
0.77,-0.35427222,0.008822366,0.36310855,0.17260294,-0.35871392,0.18572982,0.016110651,0.05744753,0.011609997,-0.03995001,-0.10529761,0.09695343
0.78,-0.3542351,-0.0370824,0.31714705,0.1954429,-0.33568096,0.13968386,0.017000584,0.061864957,0.011959694,-0.042116255,-0.10903939,0.08860382
0.79,-0.3616222,-0.054210704,0.30741504,0.20765541,-0.33459625,0.12623087,0.01630536,0.052936044,-0.0017113239,-0.058207132,-0.12709951,0.075764686
0.8,-0.3670961,-0.06965892,0.2973943,0.21812023,-0.33226246,0.113655396,0.020458136,0.05384697,-0.0037124592,-0.05868515,-0.12823597,0.073235564
0.81,-0.37186784,-0.070277646,0.30149618,0.22080697,-0.33672586,0.11546237,0.027052164,0.060968332,-0.00065351656,-0.061449796,-0.13340639,0.064553164
0.82,-0.37628233,-0.080769375,0.2955733,0.22828886,-0.33583075,0.1071246,0.02639843,0.06068171,0.0036396962,-0.05623388,-0.13021234,0.06856644
0.83,-0.3847062,-0.07108681,0.3136461,0.2275326,-0.34906733,0.120997526,0.03621108,0.06837767,0.006704951,-0.0600942,-0.13707246,0.06515279
0.84,-0.39543223,-0.10133161,0.294044,0.24812667,-0.3447022,0.09607644,0.06374816,0.0848769,0.02060436,-0.055110037,-0.14636807,0.048105773
0.85,-0.40984115,-0.028629092,0.381139,0.21904945,-0.3954277,0.17603119,0.20577063,0.2836973,0.2279275,0.10610655,-0.08463657,0.062727734
0.86,-0.0969262,0.012340556,0.109306686,0.041981753,-0.10311179,0.060611382,0.32349798,0.66305226,0.8311975,0.8806464,0.5837986,0.46419257
0.87,0.10219537,0.21116824,0.10891856,-0.15694247,-0.0033901744,0.15984443,-0.31939262,-0.06522791,0.35849792,0.6918214,0.70919913,0.66901064
0.88,-0.3336847,0.09253267,0.42626342,0.12039533,-0.38002947,0.25908455,-1.3357695,-1.7361114,-1.4614505,-0.9906311,-0.33174318,0.21369721
0.89,-0.32057005,-0.10536566,0.21525532,0.21270357,-0.26796347,0.05459115,-1.0537975,-1.3093523,-1.2141194,-0.85782176,-0.2871627,0.2270639
0.9,-0.28051528,-0.11253019,0.16804817,0.19628362,-0.2241834,0.027459143,-0.33099663,-0.31835198,-0.34968695,-0.2879609,-0.13431047,0.19080482
0.91,-0.342438,-0.09400121,0.24850298,0.21801528,-0.295574,0.076970875,-0.08295637,-0.050500162,-0.099868596,-0.12593754,-0.13724828,0.10203002
0.92,-0.33939725,-0.07712792,0.26232502,0.20804164,-0.30083126,0.092309356,0.03298653,0.10875518,0.048382886,-0.01739788,-0.10043026,0.0996276
0.93,-0.3584882,-0.10137302,0.2570726,0.2296671,-0.3078576,0.07753994,0.0470889,0.11665559,0.04914131,-0.022502458,-0.11236359,0.08069198
0.94,-0.3580057,-0.0978188,0.2602879,0.22761804,-0.30917627,0.08103044,0.080513634,0.16206054,0.09064607,0.007510432,-0.10462067,0.07735905
0.95,-0.35775647,-0.09485224,0.26297307,0.22611941,-0.3105136,0.08382672,0.085151315,0.1645576,0.092283905,0.0060777925,-0.10786543,0.07918277
0.96,-0.3514442,-0.08805615,0.26346216,0.21955395,-0.30744314,0.08735225,0.102031484,0.18903244,0.11871795,0.025446983,-0.09444558,0.08310785
0.97,-0.3484144,-0.08585918,0.26258406,0.21690032,-0.3056093,0.088099115,0.108960345,0.19876805,0.12704258,0.03216249,-0.094538294,0.080695406
0.98,-0.34432402,-0.08061794,0.26363966,0.21234699,-0.30408663,0.09119418,0.12265659,0.21499474,0.14416319,0.04511818,-0.08637959,0.08665863
0.99,-0.33697796,-0.077395655,0.25962782,0.20698492,-0.29828745,0.090816244,0.12313972,0.22523461,0.15497383,0.051448524,-0.08251218,0.08790734
1.0,-0.33708316,-0.07448654,0.2625181,0.20552397,-0.29982248,0.093665786,0.12843032,0.23798452,0.17258246,0.060525127,-0.07691207,0.0907345
1.01,-0.32761845,-0.061925855,0.26560882,0.19455111,-0.29661885,0.10162167,0.13617785,0.2556555,0.19239026,0.076274045,-0.06742154,0.0998163
