time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.18474412,0.11995188,0.30488127,0.032503612,-0.24487905,0.21189345,-0.14028579,-0.24750184,0.112099014,0.18894814,0.08229088,0.17971022
0.01,-0.18554652,0.1547929,0.34046423,0.01543507,-0.26301903,0.247005,-0.14977872,-0.2816079,0.10415235,0.2056777,0.10300696,0.2006605
0.02,-0.19021039,0.17217435,0.3623594,0.008941472,-0.2762261,0.2666534,-0.1582717,-0.31270307,0.10058689,0.22126767,0.12256621,0.22465569
0.03,-0.18696748,0.20637149,0.39349568,-0.009684939,-0.2902854,0.29950446,-0.1662853,-0.34399718,0.098100595,0.23371229,0.13815685,0.24500202
0.04,-0.19515087,0.19862136,0.39365768,-0.001678494,-0.2943576,0.29551685,-0.1626582,-0.36380106,0.07993619,0.22649315,0.13542841,0.24030195
0.05,-0.21367556,0.17823116,0.3918894,0.017891739,-0.3027777,0.2845631,-0.1381941,-0.35109383,0.069378786,0.20773588,0.11842741,0.21562822
0.06,-0.23150077,0.14099894,0.37260747,0.045254502,-0.30197808,0.25630644,-0.101921454,-0.31177038,0.07258257,0.1849978,0.09286859,0.17820284
0.07,-0.247203,0.109577835,0.35675004,0.068845846,-0.30214563,0.2325987,-0.07811669,-0.27438188,0.08635871,0.16291812,0.06764817,0.14984256
0.08,-0.2526528,0.07026705,0.3229041,0.09119928,-0.2877508,0.19607192,-0.07000886,-0.24298377,0.085190795,0.13788031,0.042063188,0.11762259
0.09,-0.24453688,0.051292583,0.296034,0.096634865,-0.2702837,0.17351422,-0.077017315,-0.22589679,0.08556823,0.11983118,0.023348678,0.10638867
0.1,-0.2352691,0.033987287,0.2692771,0.10067005,-0.2523442,0.15166686,-0.08906686,-0.2047591,0.08462984,0.10787028,0.012156395,0.09911691
0.11,-0.22484818,0.028530236,0.25350216,0.09822692,-0.23916104,0.14096667,-0.10022536,-0.19628647,0.077599205,0.09958084,0.0047347285,0.07921626
0.12,-0.21775575,0.011644344,0.2293004,0.10299109,-0.22342362,0.12049888,-0.10473607,-0.18451689,0.07915224,0.088479914,-0.0068387715,0.071289
0.13,-0.20995119,0.013489486,0.2233533,0.09812886,-0.21661648,0.118237376,-0.108891554,-0.1772488,0.08102464,0.07985819,-0.0100687565,0.07533805
0.14,-0.20406328,0.013841169,0.2179647,0.09514263,-0.2109026,0.11585544,-0.112574905,-0.17016698,0.08755236,0.08156357,-0.010051585,0.06604537
0.15,-0.20443444,0.016458495,0.22100534,0.09395916,-0.21274363,0.1187835,-0.11729505,-0.1716912,0.084696464,0.07680778,-0.013834422,0.06334206
0.16,-0.20581357,0.011387737,0.21712378,0.09735886,-0.21140505,0.11414132,-0.114679456,-0.16434112,0.075798534,0.070671715,-0.018504841,0.058757685
0.17,-0.1998312,0.020006368,0.21977335,0.08991203,-0.20978157,0.1198729,-0.11946489,-0.16869694,0.07052676,0.07128975,-0.017877493,0.058144197
0.18,-0.20492174,0.01732722,0.22240676,0.0938661,-0.21371447,0.11979557,-0.11967043,-0.17076069,0.0670791,0.06588307,-0.023783188,0.05812724
0.19,-0.20123917,0.022804525,0.22410284,0.089112274,-0.21257254,0.12344323,-0.12160779,-0.17171626,0.06618781,0.06913615,-0.02354287,0.052196767
0.2,-0.20179513,0.016409932,0.21827184,0.09270433,-0.2100373,0.11728872,-0.1288555,-0.17308742,0.0750406,0.06833389,-0.024533939,0.055872746
0.21,-0.20324099,0.015233346,0.21855791,0.09396601,-0.21079923,0.1168024,-0.13088872,-0.17617075,0.07141919,0.06997333,-0.02588707,0.059917357
0.22,-0.20022322,0.011468813,0.21152921,0.09438781,-0.20583612,0.1114267,-0.13015655,-0.178429,0.06551016,0.06510157,-0.032227222,0.046382863
