time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.13655752,0.1998316,0.063259535,-0.16825204,0.03702919,0.13128483,-0.080359794,0.072951436,0.03776703,0.046811312,0.10470937,-0.013528157
0.01,0.14234997,0.20098552,0.058627654,-0.17157389,0.04207129,0.12959407,-0.0774232,0.0886753,0.045208823,0.04682325,0.10290669,-0.013973523
0.02,0.14688274,0.20390403,0.05718676,-0.1753627,0.045105886,0.1302993,-0.08507378,0.09264516,0.051663075,0.049319632,0.10780638,-0.011224884
0.03,0.15135227,0.20295206,0.051522978,-0.17715937,0.05007325,0.12701769,-0.08357423,0.1049558,0.059672184,0.052247424,0.10595489,-0.015665041
0.04,0.14822404,0.20561396,0.05734856,-0.17679265,0.045571256,0.1312168,-0.087611146,0.114865795,0.06676499,0.050294854,0.106375426,-0.012045399
0.05,0.15330085,0.2056661,0.052280366,-0.17937015,0.050642855,0.1287523,-0.08257954,0.13093083,0.08141907,0.056283705,0.10317095,-0.015497508
0.06,0.1607722,0.20820926,0.04730679,-0.18438001,0.057054214,0.12749968,-0.0821801,0.14882681,0.094693914,0.062077913,0.10052273,-0.014322262
0.07,0.1704313,0.21367274,0.043117765,-0.19204193,0.06395871,0.12813228,-0.08143804,0.16971767,0.11547837,0.07159048,0.105194904,-0.015581667
0.08,0.17952436,0.21594214,0.036375422,-0.19783592,0.071777016,0.12588601,-0.07845314,0.19787292,0.14539313,0.08822964,0.1050818,-0.011321842
0.09,0.19233012,0.21505937,0.022784788,-0.20358191,0.0849293,0.11862296,-0.08225625,0.22698462,0.1727612,0.09934713,0.106638126,-0.008485202
0.1,0.20514497,0.21566679,0.010469683,-0.21053006,0.09756924,0.112830915,-0.08428173,0.2567543,0.20347892,0.11345203,0.10890588,-0.010224695
0.11,0.22759043,0.21888939,-0.008679183,-0.22324179,0.118499145,0.10491491,-0.08311043,0.29492655,0.24545354,0.1311437,0.106375836,-0.011048323
0.12,0.25274095,0.21882851,-0.033908833,-0.23579295,0.14360362,0.09216128,-0.08393197,0.34272143,0.2902519,0.1444708,0.10763259,-0.015194072
0.13,0.27621543,0.21722242,-0.058924243,-0.2467852,0.16791295,0.07892072,-0.08933582,0.39385408,0.3374266,0.16215153,0.10851326,-0.012009228
0.14,0.31066215,0.21812265,-0.092655495,-0.26443243,0.20196615,0.062506326,-0.09705377,0.44664538,0.38932502,0.17719997,0.103530616,-0.014358616
0.15,0.35141537,0.22140175,-0.12997214,-0.28647512,0.24103314,0.04548044,-0.10278473,0.5013682,0.44221678,0.19378015,0.103181265,-0.019534644
0.16,0.39205724,0.22038934,-0.17150305,-0.30620715,0.2819998,0.024341965,-0.10405781,0.55852187,0.4983123,0.21784106,0.100507036,-0.024505462
0.17,0.4165852,0.2184175,-0.19812617,-0.3176141,0.30767205,0.009923406,-0.10704188,0.60222423,0.53782386,0.22619396,0.08863437,-0.033295617
0.18,0.4434145,0.22301483,-0.22036135,-0.3331846,0.3321171,0.0011219246,-0.100418,0.6444517,0.57334214,0.23688892,0.08285738,-0.03513934
0.19,0.451855,0.22784652,-0.22398867,-0.3399929,0.33821288,0.0017173656,-0.08894908,0.6650549,0.59031606,0.24894668,0.08467685,-0.03686166
0.2,0.4355467,0.23261598,-0.20273376,-0.33405644,0.31936806,0.0147067085,-0.072836645,0.64913934,0.5708164,0.2407806,0.08298486,-0.035135657
0.21,0.39811704,0.25090513,-0.14720805,-0.32451406,0.27290088,0.05158047,-0.056570858,0.59088576,0.5126756,0.23289762,0.09436972,-0.028524201
0.22,0.33425033,0.25533956,-0.079041526,-0.294838,0.20693085,0.087840304,-0.045172725,0.49480826,0.4259539,0.21533005,0.11193703,-0.01236861
0.23,0.2704771,0.25848272,-0.012000233,-0.26451772,0.14151987,0.1230314,-0.038179666,0.39140025,0.32812697,0.18182564,0.11886318,-0.00086174003
0.24,0.22426511,0.26358426,0.039375026,-0.24394235,0.092642434,0.15125747,-0.042952545,0.28945962,0.23203735,0.14474937,0.110898726,-0.0050486373
0.25,0.18539236,0.250524,0.06502806,-0.21786155,0.060353577,0.15746933,-0.055152822,0.20757268,0.15997976,0.113719456,0.10565728,-0.007832183
0.26,0.1646314,0.24513516,0.08046466,-0.2048137,0.04237201,0.16247047,-0.06341909,0.1541834,0.1099582,0.089287885,0.09840842,-0.012746399
0.27,0.14892943,0.23784146,0.08901154,-0.19329822,0.03014878,0.16327086,-0.06515784,0.12276073,0.07590225,0.07030198,0.092296384,-0.01786773
0.28,0.13880785,0.23568736,0.09686674,-0.18738562,0.021255512,0.16609553,-0.06573219,0.108435,0.0654353,0.06718893,0.092306636,-0.019138776
0.29,0.13787869,0.23317358,0.095234774,-0.1855607,0.021651097,0.16392471,-0.06824061,0.10699859,0.061938595,0.06431593,0.08790376,-0.018484691
0.3,0.13693921,0.23361918,0.09677729,-0.18533975,0.02031746,0.16494621,-0.06937682,0.10964239,0.062428147,0.066101655,0.08619832,-0.016738608
0.31,0.1427266,0.23772101,0.0950132,-0.1902409,0.024139399,0.16596878,-0.069727145,0.114399604,0.06920643,0.068800464,0.096248776,-0.0128123
0.32,0.1378678,0.23770145,0.09970414,-0.18782777,0.019338632,0.16838217,-0.06573889,0.12031727,0.078748554,0.07288948,0.096955046,-0.011378794
0.33,0.14420374,0.2415004,0.09730834,-0.19277784,0.023725426,0.16903323,-0.06933714,0.12080184,0.082113646,0.077508375,0.095745966,-0.0132182315
0.34,0.144632,0.250813,0.10631989,-0.19764383,0.019383226,0.17823774,-0.07157392,0.1208124,0.08173302,0.074688144,0.09660433,-0.012307097
0.35,0.1483713,0.25279498,0.104519665,-0.20052525,0.022173138,0.17833503,-0.07424316,0.11777849,0.08438709,0.08572674,0.09971186,-0.011287788
0.36,0.14803375,0.25415134,0.106244944,-0.20111467,0.021070557,0.17993663,-0.0789718,0.10990608,0.079232655,0.07938407,0.100424185,-0.014018991
0.37,0.15037945,0.2571448,0.10699026,-0.20377405,0.02195015,0.18179595,-0.07800543,0.10316339,0.07914853,0.08404303,0.10804039,-0.0054998347
0.38,0.15044498,0.25734124,0.10698819,-0.20386961,0.02195216,0.18196447,-0.087450825,0.09218487,0.06989854,0.08058923,0.10437288,-0.005632386
0.39,0.14676215,0.2611582,0.11455242,-0.20407195,0.01636025,0.18761244,-0.09176934,0.08124569,0.06197439,0.077027254,0.10372959,-0.0069029406
0.4,0.1502315,0.26049528,0.11050504,-0.20536453,0.020200204,0.1852963,-0.09613902,0.06780061,0.046295565,0.07167253,0.1060906,-0.0015587352
0.41,0.14123745,0.25474897,0.1135781,-0.19802703,0.01412942,0.1839113,-0.09368693,0.05953115,0.04438402,0.06835834,0.10140525,-0.0077038067
0.42,0.14135906,0.25343677,0.11222955,-0.1974514,0.014829076,0.18262044,-0.10070373,0.044029575,0.027742654,0.054232277,0.095957085,-0.00936952
0.43,0.13795611,0.24997431,0.11183653,-0.19399615,0.013284117,0.1806418,-0.10476326,0.030788863,0.01687981,0.047933385,0.09358948,-0.008187286
0.44,0.1320288,0.24508776,0.11294655,-0.18852203,0.009772146,0.17871456,-0.10926314,0.017747752,0.0070452415,0.045786783,0.08830421,-0.0152884405
0.45,0.13403201,0.24842176,0.11420417,-0.19118343,0.010166774,0.1810566,-0.11407055,0.010410301,0.00075829215,0.04258399,0.08717833,-0.01943202
0.46,0.1311186,0.2444971,0.11327451,-0.18774238,0.009097363,0.17851532,-0.112128735,0.004680277,-0.0059969304,0.029169753,0.08730615,-0.01348397
0.47,0.12235522,0.23479009,0.11257904,-0.17852838,0.0051247864,0.17348984,-0.1158232,0.0014836064,-0.012561751,0.03209898,0.08299478,-0.017372826
0.48,0.12591824,0.23839387,0.11249078,-0.18201129,0.0069011035,0.17514367,-0.11494524,0.00045105515,-0.01221223,0.034734324,0.07939009,-0.023149619
0.49,0.11968075,0.23552746,0.11590934,-0.17768598,0.0021333878,0.17546941,-0.109432556,-0.0011070452,-0.013945319,0.031726334,0.08133768,-0.020380504
0.5,0.11654901,0.23311104,0.11655112,-0.17489071,0.0003749402,0.17451902,-0.11269688,-0.003979766,-0.018360004,0.029183155,0.078806445,-0.020312037
0.51,0.11944994,0.23871394,0.11934838,-0.17903899,0.0002532741,0.17879929,-0.11608229,-0.0059970585,-0.019498691,0.028967284,0.080862366,-0.021699656
0.52,0.12097152,0.24175827,0.12064097,-0.18125561,0.0004263601,0.18082663,-0.1182688,-0.007638759,-0.019975996,0.028494524,0.07988921,-0.02234738
0.53,0.11437458,0.23274629,0.11825541,-0.17365071,-0.0016743382,0.17541023,-0.11611758,-0.0071685333,-0.021560999,0.024495168,0.068672754,-0.030284762
0.54,0.116908185,0.23078376,0.11391208,-0.17385866,0.0018271595,0.17214075,-0.11960435,-0.0042203474,-0.019915834,0.025259089,0.067832746,-0.029108519
